epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13577.9,1.84575,1.47515,1.4306,0.41481,0.50725,0.38211,0.14783,2.12512,1.81246,1.66352,0.0005941,0.0005941,0.0005941
43,13891.5,1.84231,1.4683,1.41833,0.42309,0.49608,0.39612,0.15787,2.12559,1.81411,1.65972,0.0005842,0.0005842,0.0005842
44,14196,1.82465,1.45371,1.41333,0.42622,0.49674,0.39009,0.15392,2.11023,1.79543,1.67506,0.0005743,0.0005743,0.0005743
45,14498.1,1.832,1.4626,1.41978,0.42687,0.50482,0.39767,0.15534,2.12095,1.8042,1.66432,0.0005644,0.0005644,0.0005644
46,14809,1.83217,1.45326,1.41793,0.42088,0.5136,0.39299,0.15358,2.11299,1.79405,1.66212,0.0005545,0.0005545,0.0005545
47,15135.3,1.81931,1.44001,1.40672,0.43554,0.51503,0.39925,0.15684,2.11012,1.78203,1.66612,0.0005446,0.0005446,0.0005446
48,15475,1.81889,1.43328,1.40934,0.43167,0.53613,0.39255,0.15192,2.12044,1.79338,1.6553,0.0005347,0.0005347,0.0005347
49,15816.8,1.80737,1.42445,1.40418,0.42534,0.50445,0.38829,0.15039,2.1055,1.79155,1.65646,0.0005248,0.0005248,0.0005248
50,16135.4,1.80992,1.42787,1.40146,0.42395,0.504,0.38834,0.15422,2.11395,1.79401,1.66297,0.0005149,0.0005149,0.0005149
51,16455.8,1.79999,1.42211,1.402,0.43933,0.50909,0.38669,0.15092,2.13157,1.79197,1.67534,0.000505,0.000505,0.000505
52,16761.4,1.79464,1.39014,1.39062,0.42073,0.53771,0.39614,0.15621,2.12139,1.76536,1.65272,0.0004951,0.0004951,0.0004951
53,17065.4,1.7916,1.39744,1.39117,0.43492,0.49282,0.37722,0.14841,2.11668,1.78006,1.66014,0.0004852,0.0004852,0.0004852
54,17371,1.80556,1.39593,1.3931,0.43844,0.51865,0.38864,0.15102,2.11763,1.7699,1.65527,0.0004753,0.0004753,0.0004753
55,17670.1,1.78238,1.38178,1.38334,0.45292,0.50364,0.39888,0.15673,2.11712,1.75546,1.65993,0.0004654,0.0004654,0.0004654
56,17974.9,1.78177,1.38595,1.38347,0.43734,0.53257,0.39812,0.15629,2.11545,1.7542,1.65679,0.0004555,0.0004555,0.0004555
57,18279.8,1.77767,1.35848,1.3739,0.45403,0.51518,0.40368,0.16116,2.11899,1.74644,1.65486,0.0004456,0.0004456,0.0004456
58,18594.2,1.76104,1.33741,1.36491,0.44179,0.49983,0.39182,0.15309,2.11842,1.76402,1.66199,0.0004357,0.0004357,0.0004357
59,18922.4,1.76651,1.35119,1.37675,0.45352,0.53173,0.39613,0.15611,2.11681,1.75064,1.65359,0.0004258,0.0004258,0.0004258
60,19268.3,1.75839,1.33692,1.36779,0.44346,0.51217,0.4024,0.1611,2.12598,1.7391,1.66051,0.0004159,0.0004159,0.0004159
61,19610.1,1.75915,1.33599,1.36805,0.44618,0.52053,0.40807,0.16152,2.12791,1.72261,1.66627,0.000406,0.000406,0.000406
62,19929.2,1.75304,1.32406,1.3627,0.45539,0.52411,0.39572,0.15719,2.12455,1.73463,1.65799,0.0003961,0.0003961,0.0003961
63,20242.1,1.74826,1.31877,1.35792,0.4431,0.52414,0.39379,0.15722,2.12951,1.73043,1.65823,0.0003862,0.0003862,0.0003862
64,20543.4,1.74791,1.30636,1.35674,0.43953,0.53935,0.39566,0.15693,2.12763,1.72215,1.65541,0.0003763,0.0003763,0.0003763
65,20852.1,1.74326,1.32125,1.35555,0.4506,0.5296,0.40484,0.15937,2.12648,1.72944,1.65547,0.0003664,0.0003664,0.0003664
66,21161,1.73181,1.29785,1.34059,0.44245,0.54632,0.39944,0.15869,2.13093,1.71974,1.65982,0.0003565,0.0003565,0.0003565
67,21459.2,1.72766,1.30039,1.35248,0.44672,0.52074,0.40146,0.15887,2.1384,1.72003,1.66793,0.0003466,0.0003466,0.0003466
68,21764.5,1.73064,1.29311,1.3513,0.43273,0.5388,0.39717,0.15835,2.13012,1.71807,1.66198,0.0003367,0.0003367,0.0003367
69,22075.2,1.72293,1.27617,1.3473,0.45074,0.53802,0.39854,0.15975,2.13789,1.71467,1.67023,0.0003268,0.0003268,0.0003268
70,22388.4,1.7246,1.28038,1.3507,0.45222,0.52986,0.39367,0.15716,2.13204,1.72606,1.67266,0.0003169,0.0003169,0.0003169
71,22720.6,1.713,1.27103,1.3391,0.44903,0.53942,0.40057,0.16046,2.13861,1.71659,1.67138,0.000307,0.000307,0.000307
72,23062.8,1.71651,1.2639,1.34098,0.45302,0.53684,0.40199,0.16054,2.13873,1.71475,1.67012,0.0002971,0.0002971,0.0002971
73,23409.9,1.71318,1.25984,1.33949,0.46662,0.52622,0.39997,0.16013,2.13796,1.71036,1.66674,0.0002872,0.0002872,0.0002872
74,23728.2,1.70563,1.2512,1.33054,0.4545,0.53455,0.40242,0.15996,2.1433,1.7005,1.66777,0.0002773,0.0002773,0.0002773
75,24037.6,1.69739,1.24261,1.32432,0.45889,0.53783,0.40089,0.16058,2.13846,1.70992,1.66659,0.0002674,0.0002674,0.0002674
76,24352.5,1.69675,1.23397,1.32871,0.45929,0.5279,0.40537,0.16232,2.14122,1.70468,1.66728,0.0002575,0.0002575,0.0002575
77,24655,1.67976,1.23212,1.32152,0.4657,0.51883,0.40205,0.15996,2.14278,1.70891,1.67023,0.0002476,0.0002476,0.0002476
78,24984.8,1.68704,1.23102,1.3258,0.45682,0.53417,0.40256,0.16088,2.14353,1.70565,1.6676,0.0002377,0.0002377,0.0002377
79,25313.4,1.67718,1.21025,1.32232,0.45868,0.53612,0.40122,0.16086,2.1478,1.70271,1.67312,0.0002278,0.0002278,0.0002278
80,25659.7,1.67187,1.20818,1.31094,0.4609,0.5264,0.40108,0.16125,2.14784,1.69581,1.67494,0.0002179,0.0002179,0.0002179
81,26000.4,1.67105,1.21502,1.31418,0.47167,0.52691,0.40278,0.16142,2.1469,1.70089,1.67287,0.000208,0.000208,0.000208
82,26355.9,1.67798,1.20758,1.31325,0.46546,0.52837,0.40038,0.16068,2.1442,1.70393,1.67069,0.0001981,0.0001981,0.0001981
82,388.987,1.67803,1.19505,1.32407,0.47457,0.53476,0.403,0.16203,2.15474,1.69322,1.68007,0.0001981,0.0001981,0.0001981
83,722.371,1.66226,1.19733,1.31122,0.48291,0.52726,0.40297,0.16183,2.15623,1.69391,1.68249,0.0001882,0.0001882,0.0001882
84,1031.65,1.67397,1.19764,1.31952,0.47698,0.53344,0.40363,0.16118,2.15445,1.69488,1.67816,0.0001783,0.0001783,0.0001783
85,1340.78,1.65534,1.1859,1.3064,0.47799,0.53233,0.40537,0.16226,2.15711,1.69056,1.67936,0.0001684,0.0001684,0.0001684
86,1652.48,1.66262,1.1958,1.30859,0.46314,0.54868,0.40593,0.16321,2.1584,1.68455,1.67976,0.0001585,0.0001585,0.0001585
87,1963.64,1.65683,1.1755,1.30698,0.46751,0.54899,0.40438,0.16193,2.16158,1.68383,1.68355,0.0001486,0.0001486,0.0001486
88,2276.24,1.64558,1.18076,1.30241,0.46399,0.55773,0.40311,0.16136,2.16108,1.68044,1.68314,0.0001387,0.0001387,0.0001387
89,2586.07,1.64616,1.17011,1.29523,0.46916,0.5446,0.40229,0.16133,2.16257,1.68372,1.68366,0.0001288,0.0001288,0.0001288
90,2896.05,1.64048,1.16676,1.30063,0.47115,0.54274,0.4026,0.16196,2.16185,1.68509,1.68413,0.0001189,0.0001189,0.0001189
91,3269.01,1.64269,1.12852,1.3539,0.47145,0.54763,0.40462,0.16328,2.16343,1.68681,1.68452,0.000109,0.000109,0.000109
92,3572.57,1.62869,1.10384,1.34415,0.47403,0.54753,0.4062,0.16284,2.16632,1.68484,1.68436,9.91e-05,9.91e-05,9.91e-05
93,3915.04,1.61533,1.0918,1.33943,0.47417,0.54649,0.40589,0.16304,2.16528,1.68696,1.68241,8.92e-05,8.92e-05,8.92e-05
94,4271.2,1.60696,1.08344,1.33077,0.47686,0.54491,0.40443,0.16212,2.16654,1.68738,1.68297,7.93e-05,7.93e-05,7.93e-05
95,4588.25,1.60766,1.08235,1.33566,0.47508,0.54887,0.40396,0.16148,2.1685,1.68679,1.68493,6.94e-05,6.94e-05,6.94e-05
96,4891.73,1.60123,1.08318,1.33256,0.47293,0.5501,0.40354,0.16164,2.1691,1.68752,1.6866,5.95e-05,5.95e-05,5.95e-05
97,5193.86,1.59307,1.06857,1.33226,0.46865,0.55156,0.4033,0.16156,2.17047,1.68732,1.68788,4.96e-05,4.96e-05,4.96e-05
98,5500.57,1.58956,1.062,1.32779,0.47074,0.54853,0.40312,0.16117,2.17281,1.68807,1.69027,3.97e-05,3.97e-05,3.97e-05
99,5800.94,1.59643,1.06094,1.32682,0.4675,0.54267,0.40265,0.16122,2.17463,1.69011,1.69193,2.98e-05,2.98e-05,2.98e-05
100,6107.92,1.58449,1.0565,1.32287,0.46761,0.54014,0.40213,0.16103,2.1771,1.69106,1.69328,1.99e-05,1.99e-05,1.99e-05
